Tree 1,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
94,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,23,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
95,90,90,24,74,5.2,8
,,,,,,
Tree 2,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
93,95,81,86,88,-2.5,7
93,95,81,86,88,-2.5,7
93,95,81,86,88,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,81,86,89,-2.5,7
94,95,82,86,89,-2.5,7
94,95,82,86,89,-2.5,7
94,95,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,86,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,82,87,89,-2.5,7
94,96,83,87,90,-2.5,7
94,96,83,87,90,-2.5,7
94,96,83,87,90,-2.5,7
94,96,83,87,90,-2.5,7
94,96,83,87,90,-2.5,7
94,96,83,87,90,-2.5,7
,,,,,,
Tree 3,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
95,94,90,92,92,-0.05,8
95,94,90,92,92,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
95,94,90,93,93,-0.05,8
96,94,90,93,93,-0.05,8
96,94,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,93,93,-0.05,8
96,95,90,94,93,-0.05,8
96,95,90,94,93,-0.05,8
96,95,90,94,93,-0.05,8
96,95,90,94,93,-0.05,8
